timestamp,Left_Heel,Left_Middle,Left_Top
1734602893.987623,0,3295,329
1734602894.0514987,0,3422,342
1734602894.0997665,0,3418,349
1734602894.2287765,0,3414,349
1734602894.2882698,0,3399,363
1734602894.3508334,0,3408,359
1734602894.4129343,3474,0,2214
1734602894.5293689,2269,188,1576
1734602894.5908854,1821,112,1204
1734602894.6468039,997,0,497
1734602894.7002459,254,335,0
1734602894.7731428,178,815,0
1734602894.8301892,122,1249,0
1734602894.888409,165,3233,171
1734602894.998314,318,2608,47
1734602895.0726504,250,3124,131
1734602895.1913493,0,3329,192
1734602895.301349,0,3307,162
1734602895.3768473,0,3298,168
1734602895.4309657,37,3305,161
1734602895.4879382,30,3101,125
1734602895.5444252,149,2769,66
1734602895.6132934,243,2057,0
1734602895.6600304,285,1535,0
1734602895.7931623,443,1535,0
1734602895.8530583,0,288,0
1734602895.9122748,0,2924,107
1734602895.9710498,0,3284,185
1734602896.0331922,0,2187,30
1734602896.089526,0,3295,191
1734602896.14847,0,3231,185
1734602896.213098,534,617,416
1734602896.2609165,380,119,351
1734602896.3338435,0,1933,63
1734602896.401462,0,1309,33
1734602896.4465866,0,2353,137
1734602896.5068822,0,3379,290
1734602896.5752532,4095,0,2273
1734602896.6345553,4095,327,2310
1734602896.6916673,4095,310,2352
1734602896.7551925,4095,332,2401
1734602896.804928,4095,352,2385
1734602896.8749783,4095,336,2403
1734602896.9270906,4095,0,2258
1734602896.9877203,1175,890,32
1734602897.044964,3712,237,2093
1734602897.1098747,4095,378,2306
1734602897.1753502,967,3230,176
1734602897.2251427,4095,243,2401
1734602897.2917898,0,3273,172
1734602897.3392825,0,3329,170
1734602897.403208,0,3326,166
1734602897.4725676,0,3330,169
1734602897.5835397,29,3307,171
1734602897.6456485,208,3216,169
1734602897.7012064,16,3312,160
1734602897.773094,10,3330,166
1734602897.8870196,18,3319,169
1734602897.950613,16,3318,166
1734602898.0014932,3037,0,0
1734602898.0721698,2041,73,1129
1734602898.1284602,669,109,1040
1734602898.2512562,0,0,202
1734602898.3130045,227,0,0
1734602898.3714647,566,0,420
1734602898.4212759,0,0,429
1734602898.492787,0,0,735
1734602898.5403757,17,189,1524
1734602898.6711764,1103,558,3583
1734602898.726219,456,3275,165
1734602898.8410058,551,3295,169
1734602898.9025495,562,3296,158
1734602898.974221,579,3281,158
1734602899.0829773,506,2919,98
1734602899.144996,597,2598,46
1734602899.2085726,615,1689,0
1734602899.2714646,627,337,0
1734602899.38241,642,0,0
1734602899.4424767,0,2810,243
1734602899.5093975,0,2895,304
1734602899.5731382,0,3277,322
1734602899.632381,0,2674,123
1734602899.6923153,109,781,0
1734602899.753287,563,0,0
1734602899.804019,1234,0,16
1734602899.8736846,597,0,42
1734602899.9313867,326,0,127
1734602899.9829404,2523,284,2463
1734602900.0518546,4095,487,3312
1734602900.1071362,2934,624,2546
1734602900.1707053,333,1599,0
1734602900.231685,430,3163,128
1734602900.2833889,495,3278,175
1734602900.3451345,563,3279,302
1734602900.4085846,735,3314,195
1734602900.4720776,741,3271,176
1734602900.5201435,772,3222,183
1734602900.5873616,1468,3248,183
1734602900.645712,1709,1716,0
1734602900.7081873,1803,351,0
1734602900.8333294,4095,195,1775
1734602900.8873246,0,3246,180
1734602900.9505925,0,3292,196
1734602900.999144,0,3327,205
1734602901.0745106,0,3355,215
1734602901.1322672,0,3317,247
1734602901.2472422,0,3279,272
1734602901.3019006,0,3375,290
1734602901.3728836,0,3376,303
1734602901.430805,0,3411,310
1734602901.4869654,0,3376,322
1734602901.552991,0,3394,336
1734602901.6104653,4095,0,2640
1734602901.6704838,1653,1072,681
1734602901.7315433,1383,0,567
1734602901.7908819,4095,395,2791
1734602901.852492,4095,430,2717
