timestamp,Left_Heel,Left_Middle,Left_Top
1736322819.7142832,741,192,1743
1736322819.7727323,442,1712,90
1736322819.8355002,1227,363,2608
1736322819.8957999,0,835,645
1736322819.8964288,617,0,593
1736322819.9542692,0,663,663
1736322820.0763633,0,250,615
1736322820.132926,0,144,242
1736322820.1971338,0,0,442
1736322820.2562008,0,448,463
1736322820.3134248,629,0,1347
1736322820.4360924,323,32,302
1736322820.4907525,0,1466,853
1736322820.5544662,94,1682,86
1736322820.6242647,1168,205,1705
1736322820.736198,762,1349,254
1736322820.7963758,154,128,1402
1736322820.8576229,48,1975,14
1736322820.9148955,0,261,285
1736322820.97295,0,1588,297
1736322821.0394785,0,287,426
1736322821.095012,0,3227,232
1736322821.21287,4095,0,3307
1736322821.2690234,4095,2957,1
1736322821.3335443,2057,3387,186
1736322821.3937051,307,3492,197
1736322821.4569461,0,118,3992
1736322821.5097997,4095,0,3953
1736322821.5688238,4095,3218,87
1736322821.6362498,4095,0,55
1736322821.6963801,4095,3283,0
1736322821.7550159,0,3424,1950
1736322821.8138752,2193,3258,192
1736322821.8743818,4095,0,3723
1736322821.936441,0,2436,1054
1736322821.9952855,0,0,4094
1736322822.0566163,4095,0,0
1736322822.1099057,4095,0,3726
1736322822.1711533,0,3410,4095
1736322822.2359383,3965,3280,202
1736322822.3557808,0,4095,1
1736322822.414007,0,0,4070
1736322822.4740527,0,3462,4095
1736322822.536268,2999,0,3669
1736322822.5883627,0,3817,183
1736322822.6568758,4019,0,3446
1736322822.7168407,0,3427,209
1736322822.7767243,329,3322,195
1736322822.8348374,0,2541,429
1736322822.9561427,118,0,3638
1736322823.0783594,4095,3415,143
1736322823.137755,4095,0,3727
1736322823.1954181,0,3410,218
1736322823.25613,0,3525,235
1736322823.317195,4095,3360,55
1736322823.4331038,0,3647,262
1736322823.5564191,0,3429,208
1736322823.613967,4095,0,3901
1736322823.6728685,4095,0,3723
1736322823.7358868,380,3344,197
1736322823.7894328,4095,3449,85
1736322823.8565218,0,3743,209
1736322823.9133334,0,0,4095
1736322824.0365982,4095,3390,95
1736322824.0929723,0,0,4095
1736322824.1465101,4095,3503,98
1736322824.2186337,3571,3387,211
1736322824.264742,55,3369,215
1736322824.3395455,4095,62,3696
1736322824.3965404,3709,0,3489
1736322824.453369,0,3955,80
1736322824.5148726,4095,0,3709
1736322824.5772853,0,0,3927
1736322824.6372628,432,0,1086
1736322824.7579715,400,3216,213
1736322824.8132405,4095,0,0
1736322824.8730223,4095,368,3408
